match_id,home_team_id,home_team_name,away_team_id,away_team_name,tournament_id,home_team_score,away_team_score
M-1930-01,T-30,France,T-46,Mexico,WC-1930,4,1
M-1930-03,T-87,Yugoslavia,T-09,Brazil,WC-1930,2,1
M-1930-05,T-03,Argentina,T-30,France,WC-1930,1,0
M-1930-11,T-03,Argentina,T-46,Mexico,WC-1930,6,3
M-1930-13,T-55,Paraguay,T-06,Belgium,WC-1930,1,0
M-1934-01,T-05,Austria,T-30,France,WC-1934,3,2
M-1934-03,T-31,Germany,T-06,Belgium,WC-1934,5,2
M-1934-05,T-41,Italy,T-83,United States,WC-1934,7,1
M-1934-06,T-73,Spain,T-09,Brazil,WC-1934,3,1
M-1934-07,T-74,Sweden,T-03,Argentina,WC-1934,3,2
M-1934-11,T-31,Germany,T-74,Sweden,WC-1934,2,1
M-1934-12,T-41,Italy,T-73,Spain,WC-1934,1,1
M-1934-13,T-41,Italy,T-73,Spain,WC-1934,1,0
M-1934-15,T-41,Italy,T-05,Austria,WC-1934,1,0
M-1934-17,T-41,Italy,T-21,Czechoslovakia,WC-1934,2,1
M-1938-01,T-75,Switzerland,T-31,Germany,WC-1938,1,1
M-1938-02,T-19,Cuba,T-61,Romania,WC-1938,3,3
M-1938-03,T-30,France,T-06,Belgium,WC-1938,3,1
M-1938-05,T-41,Italy,T-53,Norway,WC-1938,2,1
M-1938-06,T-09,Brazil,T-57,Poland,WC-1938,6,5
M-1938-08,T-19,Cuba,T-61,Romania,WC-1938,2,1
M-1938-09,T-75,Switzerland,T-31,Germany,WC-1938,4,2
M-1938-10,T-09,Brazil,T-21,Czechoslovakia,WC-1938,1,1
M-1938-12,T-41,Italy,T-30,France,WC-1938,3,1
M-1938-14,T-09,Brazil,T-21,Czechoslovakia,WC-1938,2,1
M-1938-16,T-41,Italy,T-09,Brazil,WC-1938,2,1
M-1938-17,T-09,Brazil,T-74,Sweden,WC-1938,4,2
M-1938-18,T-41,Italy,T-36,Hungary,WC-1938,4,2
M-1950-01,T-09,Brazil,T-46,Mexico,WC-1950,4,0
M-1950-04,T-73,Spain,T-83,United States,WC-1950,3,1
M-1950-06,T-09,Brazil,T-75,Switzerland,WC-1950,2,2
M-1950-08,T-73,Spain,T-13,Chile,WC-1950,2,0
M-1950-09,T-83,United States,T-28,England,WC-1950,1,0
M-1950-10,T-74,Sweden,T-55,Paraguay,WC-1950,2,2
M-1950-11,T-09,Brazil,T-87,Yugoslavia,WC-1950,2,0
M-1950-13,T-73,Spain,T-28,England,WC-1950,1,0
M-1950-14,T-41,Italy,T-55,Paraguay,WC-1950,2,0
M-1950-17,T-09,Brazil,T-74,Sweden,WC-1950,7,1
M-1950-18,T-84,Uruguay,T-73,Spain,WC-1950,2,2
M-1950-19,T-09,Brazil,T-73,Spain,WC-1950,6,1
M-1950-20,T-84,Uruguay,T-74,Sweden,WC-1950,3,2
M-1954-01,T-09,Brazil,T-46,Mexico,WC-1954,5,0
M-1954-02,T-87,Yugoslavia,T-30,France,WC-1954,1,0
M-1954-05,T-75,Switzerland,T-41,Italy,WC-1954,2,1
M-1954-07,T-86,West Germany,T-80,Turkey,WC-1954,4,1
M-1954-08,T-28,England,T-06,Belgium,WC-1954,4,4
M-1954-10,T-09,Brazil,T-87,Yugoslavia,WC-1954,1,1
M-1954-11,T-05,Austria,T-21,Czechoslovakia,WC-1954,5,0
M-1954-12,T-30,France,T-46,Mexico,WC-1954,3,2
M-1954-17,T-86,West Germany,T-80,Turkey,WC-1954,7,2
M-1954-18,T-75,Switzerland,T-41,Italy,WC-1954,4,1
M-1954-20,T-84,Uruguay,T-28,England,WC-1954,4,2
M-1954-21,T-36,Hungary,T-09,Brazil,WC-1954,4,2
M-1954-22,T-86,West Germany,T-87,Yugoslavia,WC-1954,2,0
M-1954-24,T-86,West Germany,T-05,Austria,WC-1954,6,1
M-1958-02,T-03,Argentina,T-86,West Germany,WC-1958,1,3
M-1958-03,T-52,Northern Ireland,T-21,Czechoslovakia,WC-1958,1,0
M-1958-04,T-30,France,T-55,Paraguay,WC-1958,7,3
M-1958-07,T-09,Brazil,T-05,Austria,WC-1958,3,0
M-1958-08,T-72,Soviet Union,T-28,England,WC-1958,2,2
M-1958-12,T-87,Yugoslavia,T-30,France,WC-1958,3,2
M-1958-14,T-09,Brazil,T-28,England,WC-1958,0,0
M-1958-23,T-09,Brazil,T-72,Soviet Union,WC-1958,2,0
M-1958-25,T-52,Northern Ireland,T-21,Czechoslovakia,WC-1958,2,1
M-1958-27,T-72,Soviet Union,T-28,England,WC-1958,1,0
M-1958-29,T-30,France,T-52,Northern Ireland,WC-1958,4,0
M-1958-31,T-86,West Germany,T-87,Yugoslavia,WC-1958,1,0
M-1958-32,T-09,Brazil,T-30,France,WC-1958,5,2
M-1958-34,T-30,France,T-86,West Germany,WC-1958,6,3
M-1958-35,T-09,Brazil,T-74,Sweden,WC-1958,5,2
M-1962-02,T-13,Chile,T-75,Switzerland,WC-1962,3,1
M-1962-03,T-09,Brazil,T-46,Mexico,WC-1962,2,0
M-1962-04,T-03,Argentina,T-10,Bulgaria,WC-1962,1,0
M-1962-06,T-86,West Germany,T-41,Italy,WC-1962,0,0
M-1962-10,T-13,Chile,T-41,Italy,WC-1962,2,0
M-1962-11,T-09,Brazil,T-21,Czechoslovakia,WC-1962,0,0
M-1962-12,T-28,England,T-03,Argentina,WC-1962,3,1
M-1962-14,T-86,West Germany,T-75,Switzerland,WC-1962,2,1
M-1962-16,T-36,Hungary,T-10,Bulgaria,WC-1962,6,1
M-1962-17,T-72,Soviet Union,T-84,Uruguay,WC-1962,2,1
M-1962-18,T-86,West Germany,T-13,Chile,WC-1962,2,0
M-1962-19,T-09,Brazil,T-73,Spain,WC-1962,2,1
M-1962-20,T-36,Hungary,T-03,Argentina,WC-1962,0,0
M-1962-21,T-87,Yugoslavia,T-16,Colombia,WC-1962,5,0
M-1962-22,T-41,Italy,T-75,Switzerland,WC-1962,3,0
M-1962-25,T-09,Brazil,T-28,England,WC-1962,3,1
M-1962-28,T-87,Yugoslavia,T-86,West Germany,WC-1962,1,0
M-1962-29,T-09,Brazil,T-13,Chile,WC-1962,4,2
M-1962-32,T-09,Brazil,T-21,Czechoslovakia,WC-1962,3,1
M-1966-01,T-28,England,T-84,Uruguay,WC-1966,0,0
M-1966-02,T-86,West Germany,T-75,Switzerland,WC-1966,5,0
M-1966-05,T-30,France,T-46,Mexico,WC-1966,1,1
M-1966-08,T-41,Italy,T-13,Chile,WC-1966,2,0
M-1966-09,T-84,Uruguay,T-30,France,WC-1966,2,1
M-1966-10,T-73,Spain,T-75,Switzerland,WC-1966,2,1
M-1966-11,T-36,Hungary,T-09,Brazil,WC-1966,3,1
M-1966-13,T-03,Argentina,T-86,West Germany,WC-1966,0,0
M-1966-16,T-28,England,T-46,Mexico,WC-1966,2,0
M-1966-17,T-46,Mexico,T-84,Uruguay,WC-1966,0,0
M-1966-18,T-03,Argentina,T-75,Switzerland,WC-1966,2,0
M-1966-19,T-58,Portugal,T-09,Brazil,WC-1966,3,1
M-1966-21,T-28,England,T-30,France,WC-1966,2,0
M-1966-22,T-86,West Germany,T-73,Spain,WC-1966,2,1
M-1966-23,T-36,Hungary,T-10,Bulgaria,WC-1966,3,1
M-1966-25,T-28,England,T-03,Argentina,WC-1966,1,0
M-1966-26,T-58,Portugal,T-51,North Korea,WC-1966,5,3
M-1966-27,T-72,Soviet Union,T-36,Hungary,WC-1966,2,1
M-1966-28,T-86,West Germany,T-84,Uruguay,WC-1966,4,0
M-1966-30,T-28,England,T-58,Portugal,WC-1966,2,1
M-1966-32,T-28,England,T-86,West Germany,WC-1966,4,2
M-1970-05,T-06,Belgium,T-27,El Salvador,WC-1970,3,0
M-1970-07,T-09,Brazil,T-21,Czechoslovakia,WC-1970,4,1
M-1970-09,T-72,Soviet Union,T-06,Belgium,WC-1970,4,1
M-1970-10,T-84,Uruguay,T-41,Italy,WC-1970,0,0
M-1970-15,T-09,Brazil,T-28,England,WC-1970,1,0
M-1970-18,T-74,Sweden,T-84,Uruguay,WC-1970,1,0
M-1970-21,T-46,Mexico,T-06,Belgium,WC-1970,1,0
M-1970-23,T-28,England,T-21,Czechoslovakia,WC-1970,1,0
M-1970-25,T-09,Brazil,T-56,Peru,WC-1970,4,2
M-1970-26,T-41,Italy,T-46,Mexico,WC-1970,4,1
M-1970-27,T-72,Soviet Union,T-84,Uruguay,WC-1970,0,1
M-1970-28,T-86,West Germany,T-28,England,WC-1970,3,2
M-1970-30,T-41,Italy,T-86,West Germany,WC-1970,4,3
M-1970-31,T-86,West Germany,T-84,Uruguay,WC-1970,1,0
M-1970-32,T-09,Brazil,T-41,Italy,WC-1970,4,1
M-1974-01,T-09,Brazil,T-87,Yugoslavia,WC-1974,0,0
M-1974-02,T-86,West Germany,T-13,Chile,WC-1974,1,0
M-1974-05,T-74,Sweden,T-10,Bulgaria,WC-1974,0,0
M-1974-06,T-84,Uruguay,T-48,Netherlands,WC-1974,0,2
M-1974-08,T-57,Poland,T-03,Argentina,WC-1974,3,2
M-1974-11,T-64,Scotland,T-09,Brazil,WC-1974,0,0
M-1974-14,T-48,Netherlands,T-74,Sweden,WC-1974,0,0
M-1974-15,T-03,Argentina,T-41,Italy,WC-1974,1,1
M-1974-22,T-74,Sweden,T-84,Uruguay,WC-1974,3,0
M-1974-24,T-57,Poland,T-41,Italy,WC-1974,2,1
M-1974-25,T-87,Yugoslavia,T-86,West Germany,WC-1974,0,2
M-1974-27,T-48,Netherlands,T-03,Argentina,WC-1974,4,0
M-1974-29,T-03,Argentina,T-09,Brazil,WC-1974,1,2
M-1974-35,T-48,Netherlands,T-09,Brazil,WC-1974,2,0
M-1974-37,T-09,Brazil,T-57,Poland,WC-1974,0,1
M-1974-38,T-48,Netherlands,T-86,West Germany,WC-1974,1,2
M-1978-02,T-41,Italy,T-30,France,WC-1978,2,1
M-1978-04,T-03,Argentina,T-36,Hungary,WC-1978,2,1
M-1978-06,T-09,Brazil,T-74,Sweden,WC-1978,1,1
M-1978-09,T-41,Italy,T-36,Hungary,WC-1978,3,1
M-1978-11,T-86,West Germany,T-46,Mexico,WC-1978,6,0
M-1978-12,T-03,Argentina,T-30,France,WC-1978,2,1
M-1978-14,T-09,Brazil,T-73,Spain,WC-1978,0,0
M-1978-20,T-03,Argentina,T-41,Italy,WC-1978,0,1
M-1978-21,T-09,Brazil,T-05,Austria,WC-1978,1,0
M-1978-26,T-41,Italy,T-86,West Germany,WC-1978,0,0
M-1978-27,T-09,Brazil,T-56,Peru,WC-1978,3,0
M-1978-28,T-03,Argentina,T-57,Poland,WC-1978,2,0
M-1978-30,T-41,Italy,T-05,Austria,WC-1978,1,0
M-1978-31,T-48,Netherlands,T-86,West Germany,WC-1978,2,2
M-1978-32,T-03,Argentina,T-09,Brazil,WC-1978,0,0
M-1978-33,T-05,Austria,T-86,West Germany,WC-1978,3,2
M-1978-34,T-41,Italy,T-48,Netherlands,WC-1978,1,2
M-1978-35,T-09,Brazil,T-57,Poland,WC-1978,3,1
M-1978-37,T-09,Brazil,T-41,Italy,WC-1978,2,1
M-1978-38,T-03,Argentina,T-48,Netherlands,WC-1978,3,1
M-1982-01,T-03,Argentina,T-06,Belgium,WC-1982,0,1
M-1982-02,T-41,Italy,T-57,Poland,WC-1982,0,0
M-1982-03,T-09,Brazil,T-72,Soviet Union,WC-1982,2,1
M-1982-08,T-28,England,T-30,France,WC-1982,3,1
M-1982-09,T-73,Spain,T-35,Honduras,WC-1982,1,1
M-1982-10,T-13,Chile,T-05,Austria,WC-1982,0,1
M-1982-14,T-03,Argentina,T-36,Hungary,WC-1982,4,1
M-1982-15,T-09,Brazil,T-64,Scotland,WC-1982,4,1
M-1982-17,T-06,Belgium,T-27,El Salvador,WC-1982,1,0
M-1982-19,T-86,West Germany,T-13,Chile,WC-1982,4,1
M-1982-20,T-28,England,T-21,Czechoslovakia,WC-1982,2,0
M-1982-21,T-73,Spain,T-87,Yugoslavia,WC-1982,2,1
M-1982-28,T-41,Italy,T-11,Cameroon,WC-1982,1,1
M-1982-34,T-86,West Germany,T-05,Austria,WC-1982,1,0
M-1982-37,T-05,Austria,T-30,France,WC-1982,0,1
M-1982-39,T-41,Italy,T-03,Argentina,WC-1982,2,1
M-1982-40,T-86,West Germany,T-28,England,WC-1982,0,0
M-1982-42,T-06,Belgium,T-72,Soviet Union,WC-1982,0,1
M-1982-43,T-03,Argentina,T-09,Brazil,WC-1982,1,3
M-1982-44,T-86,West Germany,T-73,Spain,WC-1982,2,1
M-1982-45,T-30,France,T-52,Northern Ireland,WC-1982,4,1
M-1982-47,T-41,Italy,T-09,Brazil,WC-1982,3,2
M-1982-48,T-73,Spain,T-28,England,WC-1982,0,0
M-1982-49,T-57,Poland,T-41,Italy,WC-1982,0,2
M-1982-50,T-86,West Germany,T-30,France,WC-1982,3,3
M-1982-52,T-41,Italy,T-86,West Germany,WC-1982,3,1
M-1986-01,T-10,Bulgaria,T-41,Italy,WC-1986,1,1
M-1986-02,T-73,Spain,T-09,Brazil,WC-1986,0,1
M-1986-03,T-12,Canada,T-30,France,WC-1986,0,1
M-1986-04,T-03,Argentina,T-71,South Korea,WC-1986,3,1
M-1986-05,T-72,Soviet Union,T-36,Hungary,WC-1986,6,0
M-1986-07,T-06,Belgium,T-46,Mexico,WC-1986,1,2
M-1986-09,T-58,Portugal,T-28,England,WC-1986,1,0
M-1986-11,T-84,Uruguay,T-86,West Germany,WC-1986,1,1
M-1986-13,T-41,Italy,T-03,Argentina,WC-1986,1,1
M-1986-27,T-03,Argentina,T-10,Bulgaria,WC-1986,2,0
M-1986-28,T-71,South Korea,T-41,Italy,WC-1986,2,3
M-1986-30,T-55,Paraguay,T-06,Belgium,WC-1986,2,2
M-1986-32,T-58,Portugal,T-47,Morocco,WC-1986,1,3
M-1986-37,T-46,Mexico,T-10,Bulgaria,WC-1986,2,0
M-1986-38,T-72,Soviet Union,T-06,Belgium,WC-1986,3,4
M-1986-39,T-09,Brazil,T-57,Poland,WC-1986,4,0
M-1986-41,T-41,Italy,T-30,France,WC-1986,0,2
M-1986-43,T-28,England,T-55,Paraguay,WC-1986,3,0
M-1986-45,T-09,Brazil,T-30,France,WC-1986,1,1
M-1986-46,T-86,West Germany,T-46,Mexico,WC-1986,0,0
M-1986-47,T-03,Argentina,T-28,England,WC-1986,2,1
M-1986-49,T-30,France,T-86,West Germany,WC-1986,0,2
M-1986-50,T-03,Argentina,T-06,Belgium,WC-1986,2,0
M-1986-51,T-06,Belgium,T-30,France,WC-1986,2,4
M-1986-52,T-03,Argentina,T-86,West Germany,WC-1986,3,2
M-1990-04,T-41,Italy,T-05,Austria,WC-1990,1,0
M-1990-06,T-09,Brazil,T-74,Sweden,WC-1990,2,1
M-1990-07,T-86,West Germany,T-87,Yugoslavia,WC-1990,4,1
M-1990-10,T-06,Belgium,T-71,South Korea,WC-1990,2,0
M-1990-12,T-84,Uruguay,T-73,Spain,WC-1990,0,0
M-1990-15,T-87,Yugoslavia,T-16,Colombia,WC-1990,1,0
M-1990-16,T-41,Italy,T-83,United States,WC-1990,1,0
M-1990-17,T-05,Austria,T-21,Czechoslovakia,WC-1990,0,1
M-1990-19,T-09,Brazil,T-17,Costa Rica,WC-1990,1,0
M-1990-24,T-71,South Korea,T-73,Spain,WC-1990,1,3
M-1990-30,T-41,Italy,T-21,Czechoslovakia,WC-1990,2,0
M-1990-31,T-09,Brazil,T-64,Scotland,WC-1990,1,0
M-1990-34,T-71,South Korea,T-84,Uruguay,WC-1990,0,1
M-1990-39,T-09,Brazil,T-03,Argentina,WC-1990,0,1
M-1990-40,T-86,West Germany,T-48,Netherlands,WC-1990,2,1
M-1990-42,T-41,Italy,T-84,Uruguay,WC-1990,2,0
M-1990-43,T-73,Spain,T-87,Yugoslavia,WC-1990,1,2
M-1990-44,T-28,England,T-06,Belgium,WC-1990,1,0
M-1990-49,T-03,Argentina,T-41,Italy,WC-1990,1,1
M-1990-50,T-86,West Germany,T-28,England,WC-1990,1,1
M-1990-52,T-86,West Germany,T-03,Argentina,WC-1990,1,0
M-1991-01,T-14,China,T-53,Norway,WC-1991,4,0
M-1991-02,T-31,Germany,T-50,Nigeria,WC-1991,4,0
M-1991-03,T-22,Denmark,T-49,New Zealand,WC-1991,3,0
M-1991-04,T-44,Japan,T-09,Brazil,WC-1991,0,1
M-1991-05,T-74,Sweden,T-83,United States,WC-1991,2,3
M-1991-09,T-14,China,T-22,Denmark,WC-1991,2,2
M-1991-10,T-09,Brazil,T-83,United States,WC-1991,0,5
M-1991-11,T-44,Japan,T-74,Sweden,WC-1991,0,8
M-1991-13,T-09,Brazil,T-74,Sweden,WC-1991,0,2
M-1991-14,T-44,Japan,T-83,United States,WC-1991,0,3
M-1991-15,T-14,China,T-49,New Zealand,WC-1991,4,1
M-1991-16,T-53,Norway,T-22,Denmark,WC-1991,2,1
M-1991-18,T-41,Italy,T-31,Germany,WC-1991,0,2
M-1991-20,T-14,China,T-74,Sweden,WC-1991,0,1
M-1991-21,T-53,Norway,T-41,Italy,WC-1991,3,2
M-1991-24,T-31,Germany,T-83,United States,WC-1991,2,5
M-1991-25,T-74,Sweden,T-31,Germany,WC-1991,4,0
M-1991-26,T-53,Norway,T-83,United States,WC-1991,1,2
M-1994-02,T-73,Spain,T-71,South Korea,WC-1994,2,2
M-1994-06,T-06,Belgium,T-47,Morocco,WC-1994,1,0
M-1994-12,T-31,Germany,T-73,Spain,WC-1994,1,1
M-1994-13,T-50,Nigeria,T-10,Bulgaria,WC-1994,3,0
M-1994-15,T-83,United States,T-16,Colombia,WC-1994,2,1
M-1994-16,T-41,Italy,T-53,Norway,WC-1994,1,0
M-1994-19,T-09,Brazil,T-11,Cameroon,WC-1994,3,0
M-1994-23,T-03,Argentina,T-50,Nigeria,WC-1994,2,1
M-1994-28,T-31,Germany,T-71,South Korea,WC-1994,3,2
M-1994-29,T-41,Italy,T-46,Mexico,WC-1994,1,1
M-1994-32,T-09,Brazil,T-74,Sweden,WC-1994,1,1
M-1994-35,T-03,Argentina,T-10,Bulgaria,WC-1994,0,2
M-1994-36,T-33,Greece,T-50,Nigeria,WC-1994,0,2
M-1994-37,T-31,Germany,T-06,Belgium,WC-1994,3,2
M-1994-38,T-73,Spain,T-75,Switzerland,WC-1994,3,0
M-1994-42,T-09,Brazil,T-83,United States,WC-1994,1,0
M-1994-44,T-46,Mexico,T-10,Bulgaria,WC-1994,1,1
M-1994-45,T-41,Italy,T-73,Spain,WC-1994,2,1
M-1994-46,T-48,Netherlands,T-09,Brazil,WC-1994,2,3
M-1994-49,T-10,Bulgaria,T-41,Italy,WC-1994,1,2
M-1994-50,T-74,Sweden,T-09,Brazil,WC-1994,0,1
M-1994-51,T-74,Sweden,T-10,Bulgaria,WC-1994,4,0
M-1994-52,T-09,Brazil,T-41,Italy,WC-1994,0,0
M-1995-01,T-31,Germany,T-44,Japan,WC-1995,1,0
M-1995-02,T-74,Sweden,T-09,Brazil,WC-1995,0,1
M-1995-03,T-28,England,T-12,Canada,WC-1995,3,2
M-1995-04,T-53,Norway,T-50,Nigeria,WC-1995,8,0
M-1995-05,T-22,Denmark,T-04,Australia,WC-1995,5,0
M-1995-06,T-83,United States,T-14,China,WC-1995,3,3
M-1995-07,T-09,Brazil,T-44,Japan,WC-1995,1,2
M-1995-08,T-74,Sweden,T-31,Germany,WC-1995,3,2
M-1995-10,T-53,Norway,T-28,England,WC-1995,2,0
M-1995-11,T-14,China,T-04,Australia,WC-1995,4,2
M-1995-12,T-83,United States,T-22,Denmark,WC-1995,2,0
M-1995-13,T-09,Brazil,T-31,Germany,WC-1995,1,6
M-1995-14,T-74,Sweden,T-44,Japan,WC-1995,2,0
M-1995-15,T-50,Nigeria,T-28,England,WC-1995,2,3
M-1995-16,T-53,Norway,T-12,Canada,WC-1995,7,0
M-1995-17,T-14,China,T-22,Denmark,WC-1995,3,1
M-1995-18,T-83,United States,T-04,Australia,WC-1995,4,1
M-1995-19,T-44,Japan,T-83,United States,WC-1995,0,4
M-1995-20,T-53,Norway,T-22,Denmark,WC-1995,3,1
M-1995-21,T-31,Germany,T-28,England,WC-1995,3,0
M-1995-22,T-74,Sweden,T-14,China,WC-1995,1,1
M-1995-23,T-83,United States,T-53,Norway,WC-1995,0,1
M-1995-24,T-31,Germany,T-14,China,WC-1995,1,0
M-1995-25,T-14,China,T-83,United States,WC-1995,0,2
M-1995-26,T-31,Germany,T-53,Norway,WC-1995,0,2
M-1998-01,T-09,Brazil,T-64,Scotland,WC-1998,2,1
M-1998-03,T-41,Italy,T-13,Chile,WC-1998,2,2
M-1998-07,T-30,France,T-70,South Africa,WC-1998,3,0
M-1998-09,T-71,South Korea,T-46,Mexico,WC-1998,1,3
M-1998-11,T-03,Argentina,T-44,Japan,WC-1998,1,0
M-1998-16,T-31,Germany,T-83,United States,WC-1998,2,0
M-1998-19,T-13,Chile,T-05,Austria,WC-1998,1,1
M-1998-20,T-41,Italy,T-11,Cameroon,WC-1998,3,0
M-1998-23,T-50,Nigeria,T-10,Bulgaria,WC-1998,1,0
M-1998-24,T-73,Spain,T-55,Paraguay,WC-1998,0,0
M-1998-25,T-44,Japan,T-18,Croatia,WC-1998,0,1
M-1998-26,T-06,Belgium,T-46,Mexico,WC-1998,2,2
M-1998-34,T-41,Italy,T-05,Austria,WC-1998,2,1
M-1998-35,T-09,Brazil,T-53,Norway,WC-1998,1,2
M-1998-37,T-30,France,T-22,Denmark,WC-1998,2,1
M-1998-41,T-06,Belgium,T-71,South Korea,WC-1998,1,1
M-1998-42,T-48,Netherlands,T-46,Mexico,WC-1998,2,2
M-1998-45,T-03,Argentina,T-18,Croatia,WC-1998,1,0
